"id_registro","fecha","usuario","nombre_equipo","marca","modelo","serie","unidad","respuestas","obs","idpdf"
"131","2026-05-20 15:38:20","Patricio","Ventilador mecanico","Bio-Med Devices","TV-100","TX1801055","BODEGA-EEMM","[""NA"",""NA"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""NA"",""NA"",""NO""]","Equipo operativo con observaciones, se recomienda realizar limpieza de ventiladores internos y cambio de filtros protectores del ventilador","1779305899683554"
"132","2026-04-17 15:11:23","Martin","Maquina de anestesia","Dräger","Perseus A500","ASLL-0007","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Chequeo de sistema y fugas ok","1776453082094116"
"133","2026-04-17 15:16:01","Martin","Maquina de anestesia","MINDRAY","A8","FX6-3B000066
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1776453359952362"
"134","2026-05-20 16:12:02","Martin","Maquina de anestesia","Dräger","Perseus A500","ASLL-0008","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Todo ok","1779307921570782"
"135","2026-05-20 16:15:12","Martin","Maquina de anestesia","Dräger","Perseus A500","ASLL-0007","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1779308110790643"
"136","2026-05-22 10:44:28","Patricio","Carro de paro completo ADULTO","MALVESTIO / NIHON KOHDEN","329501 / TEC-5631","6723","URGENCIA","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Se realiza limpieza en sector se palas por mal contacto a causa de gel ","1779461067791477"
"137","2026-05-22 15:20:36","Jorge","Maquina de anestesia","MINDRAY","A8"," FX6-3B000067
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1779477635520742"
"138","2026-05-22 15:28:58","Jorge","Maquina de anestesia","Dräger","Perseus A500","ASLL-0008","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1779478137496402"
"139","2026-05-29 14:28:25","Patricio","Maquina de anestesia","MINDRAY","A8","FX6-3B000066
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1780079304913165"
"140","2026-05-29 14:34:26","Patricio","Maquina de anestesia","MINDRAY","A8"," FX6-3B000068
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1780079666071985"
"141","2026-05-29 14:36:25","Patricio","Monitor Desfibrilador con carro de transporte","NIHON KOHDEN","TEC-5631","6752","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1780079784235651"
"142","2026-05-29 14:37:54","Patricio","Monitor Desfibrilador con carro de transporte","NIHON KOHDEN","TEC-5631","6764","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1780079873486218"
"143","2026-06-03 10:24:09","Patricio","Monitor Cardiofetal","Edan","F9","560053-M22512280007","ATENCION-OBSTETRICA","[""OK"",""OK"",""OK"",""NA"",""NA"",""OK"",""OK"",""OK"",""OK"",""NA"",""OK"",""OK"",""OK"",""NA"",""NA"",""NA"",""OK"",""NA"",""NA"",""NA""]","Se cambia transductor ultrasonido por desgaste","1780496649086384"
"144","2026-06-05 14:21:29","Jorge","Maquina de anestesia","MINDRAY","A8"," FX6-3B000065
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1780683688260562"
"145","2026-06-05 14:23:51","Jorge","Maquina de anestesia","MINDRAY","A8"," FX6-3B000068
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1780683829896751"
"146","2026-06-19 14:14:11","Patricio","Maquina de anestesia","MINDRAY","A8","FX6-3B000066
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1781892850968692"
"147","2026-06-19 14:14:35","Patricio","Maquina de anestesia","MINDRAY","A8"," FX6-3B000065
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1781892875234601"
"148","2026-06-19 14:14:53","Patricio","Maquina de anestesia","MINDRAY","A8"," FX6-3B000068
","ATENCION-OBSTETRICA","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1781892893145183"
"149","2026-06-19 14:16:08","Patricio","Maquina de anestesia","Dräger","Perseus A500","ASLL-0009","ATENCION-OBSTETRICA","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1781892967689440"
"150","2026-06-19 14:16:28","Patricio","Maquina de anestesia","Dräger","Perseus A500","ASLL-0007","ATENCION-OBSTETRICA","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1781892987941544"
"151","2026-07-10 15:10:08","Jorge","Maquina de anestesia","MINDRAY","A8"," FX6-3B000065
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1783710607377628"
"152","2026-07-10 15:14:14","Jorge","Maquina de anestesia","Dräger","Perseus A500","ASLL-0007","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1783710853674412"
"153","2026-07-17 14:34:08","Patricio","Maquina de anestesia","MINDRAY","A8"," FX6-3B000068
","ATENCION-OBSTETRICA","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Operativo ","1784313248107218"
"154","2026-07-17 14:34:34","Patricio","Maquina de anestesia","MINDRAY","A8"," FX6-3B000068
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Operativo ","1784313274223137"
"155","2026-07-17 14:35:18","Patricio","Maquina de anestesia","Dräger","Perseus A500","ASLL-0007","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Operativo ","1784313317712378"
"156","2026-07-17 14:35:49","Patricio","Monitor Desfibrilador con carro de transporte","NIHON KOHDEN","TEC-5631","6752","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1784313349193916"
"157","2026-07-17 14:36:18","Patricio","Monitor Desfibrilador con carro de transporte","NIHON KOHDEN","TEC-5631","6755","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1784313378355907"
"158","2026-07-17 14:36:34","Patricio","Maquina de anestesia","MINDRAY","A8","FX6-3B000066
","ATENCION-OBSTETRICA","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1784313394228875"
"159","2026-07-17 14:36:52","Patricio","Maquina de anestesia","MINDRAY","A8","FX6-3B000066
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1784313412389952"
"160","2026-07-24 14:21:46","Jorge","Maquina de anestesia","MINDRAY","A8"," FX6-3B000065
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1784917306103179"
